iter	Passed	Remaining
691	3381	485271
692	3385	485188
693	3390	485123
694	3394	485048
695	3399	484975
696	3403	484893
697	3407	484804
698	3412	484738
699	3416	484651
700	3420	484590
701	3425	484583
702	3430	484605
703	3435	484598
704	3440	484538
705	3444	484463
706	3449	484400
707	3453	484388
708	3458	484332
709	3462	484252
710	3467	484182
711	3471	484093
712	3475	484019
713	3480	483959
714	3484	483887
715	3489	483823
716	3493	483752
717	3498	483689
718	3502	483655
719	3507	483594
720	3511	483556
721	3516	483478
722	3520	483405
723	3524	483335
724	3529	483269
725	3533	483211
726	3538	483196
727	3543	483176
728	3547	483134
729	3552	483082
730	3557	483048
731	3561	482975
732	3565	482915
733	3570	482835
734	3574	482774
735	3579	482714
736	3583	482650
737	3588	482609
738	3592	482543
739	3596	482472
740	3601	482450
741	3606	482410
742	3610	482382
743	3615	482319
744	3619	482247
745	3624	482192
746	3628	482145
747	3633	482100
748	3637	482033
749	3642	481974
750	3646	481936
751	3651	481871
752	3655	481813
753	3659	481743
754	3664	481673
755	3668	481599
756	3673	481549
757	3677	481468
758	3682	481437
759	3686	481365
760	3690	481285
761	3695	481223
762	3699	481174
763	3704	481131
764	3708	481070
765	3712	480999
766	3717	480938
767	3721	480865
768	3726	480800
769	3730	480729
770	3734	480658
771	3738	480582
772	3743	480504
773	3747	480427
774	3751	480372
775	3756	480321
776	3760	480260
777	3765	480197
778	3769	480140
779	3774	480081
780	3778	480029
781	3782	479965
782	3787	479899
783	3791	479832
784	3796	479783
785	3800	479726
786	3805	479701
787	3809	479649
788	3814	479596
789	3818	479541
790	3823	479518
791	3827	479490
792	3832	479502
793	3837	479512
794	3842	479459
795	3846	479404
796	3851	479374
797	3855	479313
798	3860	479247
799	3864	479186
800	3868	479117
801	3873	479055
802	3877	479001
803	3881	478945
804	3886	478877
805	3890	478850
806	3895	478798
807	3900	478821
808	3905	478868
809	3910	478893
810	3915	478922
811	3920	478947
812	3925	478970
813	3930	478918
814	3934	478878
815	3939	478855
816	3944	478820
817	3948	478773
818	3953	478719
819	3957	478664
820	3962	478638
821	3966	478587
822	3971	478554
823	3975	478527
824	3980	478512
825	3985	478515
826	3989	478451
827	3994	478421
828	3998	478355
829	4003	478314
830	4007	478294
831	4012	478254
832	4016	478183
833	4021	478151
834	4026	478141
835	4030	478100
836	4035	478060
837	4039	478014
838	4044	477958
839	4048	477894
840	4052	477840
841	4057	477788
842	4061	477722
843	4065	477668
844	4070	477632
845	4074	477570
846	4079	477525
847	4083	477477
848	4088	477424
849	4092	477359
850	4096	477305
851	4101	477280
852	4105	477228
853	4110	477201
854	4114	477169
855	4119	477181
856	4124	477133
857	4128	477077
858	4133	477062
859	4137	477000
860	4142	476974
861	4146	476920
862	4151	476856
863	4155	476805
864	4159	476752
865	4164	476684
866	4168	476619
867	4172	476573
868	4177	476528
869	4181	476492
870	4186	476436
871	4190	476408
872	4195	476363
873	4200	476358
874	4204	476315
875	4208	476270
876	4213	476223
877	4218	476197
878	4222	476155
879	4227	476131
880	4231	476091
881	4236	476062
882	4240	476023
883	4245	476045
884	4250	476001
885	4254	475965
886	4259	475942
887	4263	475873
888	4268	475849
889	4272	475788
890	4276	475743
891	4281	475690
892	4285	475638
893	4290	475578
894	4294	475520
895	4298	475463
896	4303	475426
897	4307	475372
898	4311	475322
899	4316	475274
900	4320	475220
901	4325	475169
902	4329	475123
903	4333	475075
904	4338	475035
905	4342	475008
906	4347	474979
907	4351	474915
908	4356	474862
909	4360	474814
910	4364	474758
911	4369	474704
912	4373	474656
913	4377	474605
914	4382	474576
915	4386	474525
916	4391	474474
917	4395	474462
918	4400	474418
919	4404	474380
920	4409	474332
921	4413	474287
922	4417	474237
923	4422	474204
924	4427	474193
925	4432	474197
926	4436	474199
927	4441	474150
928	4446	474135
929	4450	474092
930	4454	474043
931	4459	473996
932	4463	473939
933	4468	473909
934	4472	473894
935	4477	473848
936	4481	473822
937	4486	473802
938	4490	473747
939	4494	473687
940	4499	473643
941	4503	473608
942	4508	473583
943	4512	473544
944	4517	473503
945	4521	473472
946	4526	473439
947	4530	473385
948	4535	473353
949	4539	473308
950	4544	473271
951	4548	473225
952	4552	473185
953	4557	473145
954	4561	473105
955	4566	473084
956	4570	473063
957	4575	473022
958	4579	472986
959	4584	472932
960	4588	472902
961	4593	472896
962	4598	472917
963	4603	472962
964	4608	472982
965	4613	473023
966	4618	472986
967	4622	472958
968	4627	472942
969	4632	472935
970	4636	472893
971	4641	472865
972	4645	472831
973	4650	472800
974	4655	472781
975	4659	472749
976	4663	472713
977	4668	472679
978	4672	472637
979	4677	472601
980	4681	472553
981	4686	472512
982	4690	472474
983	4695	472443
984	4699	472421
985	4704	472442
986	4709	472396
987	4713	472343
988	4717	472321
989	4722	472315
990	4727	472294
991	4731	472241
992	4735	472191
993	4740	472168
994	4744	472125
995	4749	472081
996	4753	472031
997	4758	472009
998	4762	471984
999	4767	471952
1000	4771	471909
1001	4776	471881
1002	4780	471834
1003	4784	471791
1004	4789	471746
1005	4793	471703
1006	4798	471725
1007	4803	471743
1008	4808	471731
1009	4813	471783
1010	4818	471746
1011	4822	471713
1012	4827	471708
1013	4832	471726
1014	4836	471699
1015	4841	471671
1016	4845	471625
1017	4850	471620
1018	4854	471585
1019	4859	471563
1020	4864	471533
1021	4868	471491
1022	4872	471441
1023	4877	471405
1024	4881	471378
1025	4886	471342
1026	4890	471299
1027	4895	471278
1028	4899	471231
1029	4903	471199
1030	4908	471156
1031	4912	471104
1032	4917	471090
1033	4921	471053
1034	4925	471007
1035	4930	470965
1036	4934	470944
1037	4939	470909
1038	4943	470869
1039	4948	470829
1040	4952	470798
1041	4957	470766
1042	4961	470726
1043	4965	470681
1044	4970	470655
1045	4974	470612
1046	4978	470568
1047	4984	470615
1048	4989	470643
1049	4993	470619
1050	4998	470610
1051	5003	470584
1052	5007	470558
1053	5012	470557
1054	5017	470587
1055	5022	470567
1056	5026	470558
1057	5031	470556
1058	5036	470562
1059	5041	470574
1060	5045	470527
1061	5050	470520
1062	5054	470481
1063	5060	470567
1064	5065	470590
1065	5070	470617
1066	5075	470618
1067	5080	470612
1068	5084	470575
1069	5089	470538
1070	5093	470497
1071	5097	470453
1072	5102	470414
1073	5106	470369
1074	5111	470361
1075	5116	470366
1076	5120	470350
1077	5125	470334
1078	5130	470310
1079	5134	470266
1080	5138	470236
1081	5143	470197
1082	5147	470155
1083	5151	470122
1084	5156	470084
1085	5160	470045
1086	5165	470013
1087	5170	470036
1088	5175	470046
1089	5179	470026
1090	5184	470006
1091	5188	469970
1092	5193	469965
1093	5198	469965
1094	5202	469937
1095	5207	469894
1096	5211	469853
1097	5215	469828
1098	5220	469792
1099	5224	469763
1100	5230	469795
1101	5235	469822
1102	5240	469847
1103	5245	469866
1104	5250	469879
1105	5255	469894
1106	5259	469867
1107	5264	469842
1108	5268	469801
1109	5272	469756
1110	5277	469728
1111	5281	469685
1112	5285	469640
1113	5290	469616
1114	5295	469610
1115	5299	469600
1116	5304	469565
1117	5308	469537
1118	5313	469500
1119	5317	469469
1120	5322	469434
1121	5326	469417
1122	5331	469394
1123	5335	469355
1124	5340	469347
1125	5345	469370
1126	5350	469384
1127	5355	469404
1128	5360	469412
1129	5364	469389
1130	5369	469429
1131	5375	469451
1132	5380	469466
1133	5385	469500
1134	5390	469517
1135	5395	469541
1136	5400	469572
1137	5405	469596
1138	5410	469585
1139	5414	469580
1140	5419	469581
1141	5425	469620
1142	5430	469649
1143	5435	469668
1144	5440	469690
1145	5445	469709
1146	5450	469739
1147	5455	469757
1148	5460	469783
1149	5465	469798
1150	5470	469822
1151	5475	469790
1152	5479	469784
1153	5484	469740
1154	5488	469729
1155	5493	469697
1156	5497	469672
1157	5501	469626
1158	5506	469594
1159	5510	469564
1160	5515	469528
1161	5519	469506
1162	5524	469501
1163	5529	469472
1164	5533	469480
1165	5538	469433
1166	5542	469402
1167	5547	469368
1168	5551	469330
1169	5555	469293
1170	5560	469281
1171	5565	469268
1172	5569	469238
1173	5573	469205
1174	5578	469165
1175	5582	469129
1176	5587	469101
1177	5591	469071
1178	5595	469035
1179	5600	469015
1180	5605	469006
1181	5609	468974
1182	5614	468956
1183	5618	468935
1184	5623	468902
1185	5627	468899
1186	5632	468883
1187	5636	468846
1188	5641	468818
1189	5645	468794
1190	5650	468757
1191	5654	468723
1192	5659	468717
1193	5663	468688
1194	5668	468667
1195	5672	468635
1196	5677	468598
1197	5681	468566
1198	5686	468557
1199	5691	468585
1200	5696	468632
1201	5701	468651
1202	5706	468638
1203	5710	468602
1204	5715	468565
1205	5719	468524
1206	5724	468516
1207	5728	468502
1208	5733	468489
1209	5737	468464
1210	5742	468450
1211	5746	468415
1212	5751	468398
1213	5755	468374
1214	5760	468330
1215	5764	468300
1216	5769	468292
1217	5773	468254
1218	5778	468220
1219	5782	468192
1220	5787	468186
1221	5791	468164
1222	5796	468129
1223	5800	468099
1224	5804	468058
1225	5809	468024
1226	5813	468000
1227	5818	467985
1228	5822	467960
1229	5827	467949
1230	5831	467928
1231	5836	467893
1232	5840	467867
1233	5845	467842
1234	5849	467806
1235	5853	467762
1236	5858	467723
1237	5862	467692
1238	5866	467657
1239	5871	467617
1240	5875	467582
1241	5879	467548
1242	5884	467503
1243	5888	467489
1244	5893	467479
1245	5897	467452
1246	5902	467430
1247	5907	467461
1248	5912	467495
1249	5918	467524
1250	5923	467541
1251	5928	467574
1252	5933	467570
1253	5938	467603
1254	5943	467637
1255	5947	467608
1256	5952	467581
1257	5957	467574
1258	5961	467548
1259	5965	467524
1260	5970	467513
1261	5974	467475
1262	5979	467448
1263	5983	467419
1264	5988	467426
1265	5993	467404
1266	5997	467380
1267	6002	467350
1268	6006	467310
1269	6011	467311
1270	6015	467282
1271	6020	467263
1272	6024	467240
1273	6029	467218
1274	6033	467200
1275	6038	467166
1276	6042	467135
1277	6046	467099
1278	6051	467065
1279	6055	467034
1280	6059	467005
1281	6064	466981
1282	6068	466945
1283	6073	466912
1284	6077	466879
1285	6081	466851
1286	6086	466830
1287	6090	466797
1288	6095	466768
1289	6099	466739
1290	6104	466759
1291	6109	466772
1292	6114	466794
1293	6119	466813
1294	6124	466834
1295	6129	466846
1296	6134	466825
1297	6139	466839
1298	6144	466835
1299	6148	466847
1300	6153	466820
1301	6157	466789
1302	6162	466755
1303	6166	466715
1304	6170	466700
1305	6175	466684
1306	6179	466652
1307	6184	466640
1308	6189	466619
1309	6193	466583
1310	6197	466556
1311	6202	466526
1312	6206	466485
1313	6210	466446
1314	6215	466430
1315	6219	466409
1316	6224	466392
1317	6228	466374
1318	6233	466348
1319	6237	466322
1320	6242	466320
1321	6247	466337
1322	6252	466323
1323	6256	466293
1324	6261	466272
1325	6265	466240
1326	6269	466204
1327	6274	466179
1328	6278	466169
1329	6283	466144
1330	6287	466117
1331	6292	466097
1332	6296	466074
1333	6301	466044
1334	6305	466016
1335	6309	465988
1336	6314	465955
1337	6318	465948
1338	6323	465906
1339	6327	465876
1340	6331	465846
1341	6336	465847
1342	6341	465816
1343	6345	465787
1344	6349	465764
1345	6354	465735
1346	6358	465690
1347	6362	465669
1348	6367	465643
1349	6371	465619
1350	6376	465604
1351	6380	465573
1352	6385	465552
1353	6389	465524
1354	6394	465502
1355	6398	465490
1356	6403	465460
1357	6407	465427
1358	6412	465411
1359	6416	465390
1360	6421	465366
1361	6425	465379
1362	6430	465381
1363	6435	465357
1364	6439	465339
1365	6444	465303
1366	6448	465280
1367	6452	465252
1368	6457	465234
1369	6461	465204
1370	6466	465177
1371	6470	465140
1372	6475	465130
1373	6479	465113
1374	6484	465096
1375	6488	465066
1376	6492	465033
1377	6497	465007
1378	6501	464980
1379	6506	464955
1380	6510	464920
1381	6514	464899
1382	6519	464871
1383	6523	464850
1384	6528	464827
1385	6532	464817
1386	6537	464796
1387	6542	464807
1388	6547	464799
1389	6551	464784
1390	6558	464969
1391	6582	466314
1392	6591	466577
1393	6595	466568
1394	6601	466629
1395	6607	466711
1396	6612	466701
1397	6616	466682
1398	6621	466670
1399	6630	466974
1400	6636	467043
1401	6640	467019
1402	6645	466991
1403	6649	466969
1404	6653	466939
1405	6658	466905
1406	6662	466881
1407	6667	466852
1408	6671	466829
1409	6676	466800
1410	6680	466780
1411	6685	466779
1412	6689	466740
